City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
295,newman,37.3138,-121.0208,12.94,85,15,1.34,US,1713618088
296,novoagansk,61.9449,76.6625,-4.11,73,100,2.55,RU,1713618089
297,tsiombe,-25.3,45.4833,27.99,53,0,6.03,MG,1713618089
298,zhangjiakou,40.81,114.8794,14.57,28,1,2.15,CN,1713618090
299,nushki,29.5542,66.0215,23.17,27,2,1.73,PK,1713618091
300,ordynskoye,54.3656,81.8994,7.31,46,2,2.56,RU,1713618091
301,jayapura,-2.5333,140.7,25.66,87,85,2.09,ID,1713618092
302,kristiansund,63.1115,7.732,4.36,75,100,5.14,NO,1713618093
303,fortaleza,-3.7227,-38.5247,28.07,83,75,4.12,BR,1713618006
304,yulinshi,38.2906,109.7494,14.8,26,10,3.19,CN,1713618095
305,ta`u,-14.2336,-169.5144,28.33,79,33,5.34,AS,1713618095
306,anchorage,61.2181,-149.9003,6.42,66,75,1.34,US,1713618005
307,kaa-khem,51.6833,94.7333,8.0,53,100,7.81,RU,1713618096
308,pudasjarvi,65.3833,26.9167,-4.73,94,100,4.51,FI,1713618098
309,hasaki,35.7333,140.8333,17.22,65,100,4.72,JP,1713618098
310,santa elena de uairen,4.6167,-61.1333,22.1,75,100,0.71,VE,1713618099
311,usogorsk,63.4106,48.6872,4.26,99,97,6.86,RU,1713618100
312,winnemucca,40.973,-117.7357,9.3,45,97,1.1,US,1713618100
313,velingara,13.15,-14.1167,40.36,14,59,2.65,SN,1713618102
314,fonte boa,-2.4959,-66.2662,23.62,99,100,0.93,BR,1713618102
315,wenchang,30.904,118.4887,17.48,86,100,1.21,CN,1713618103
316,bekalta,35.6174,10.9947,21.01,34,100,2.62,TN,1713618104
317,ola,59.5833,151.2833,-4.92,72,0,4.86,RU,1713618105
318,moramanga,-18.9333,48.2,24.73,66,100,1.31,MG,1713618105
319,diamantino,-14.4086,-56.4461,27.3,76,21,2.28,BR,1713618106
320,saint-mandrier-sur-mer,43.078,5.929,20.92,35,0,7.2,FR,1713618107
321,fort bragg,35.139,-79.006,19.55,96,100,3.09,US,1713618107
322,enewetak,11.3474,162.3373,27.72,80,98,9.62,MH,1713618108
323,stephenville,32.2207,-98.2023,13.99,94,100,6.69,US,1713618109
324,talcahuano,-36.7167,-73.1167,8.82,93,0,2.06,CL,1713618109
325,aykhal,66.0,111.5,-1.96,95,100,3.18,RU,1713618110
326,guankou,28.15,113.6333,21.89,93,94,1.17,CN,1713618111
327,york,40.1254,-77.0,13.08,73,100,2.06,US,1713618111
328,ishigaki,24.3448,124.1572,26.07,94,1,2.57,JP,1713618112
329,kununurra,-15.7667,128.7333,26.99,34,40,3.6,AU,1713618113
330,vodnyy,63.5046,53.4095,4.67,100,99,4.88,RU,1713618113
331,kolonia,50.9333,6.95,10.66,83,100,4.88,DE,1713618009
332,nemuro,43.3236,145.575,2.7,90,100,9.02,JP,1713618115
333,kawambwa,-9.7915,29.0791,24.34,68,97,2.26,ZM,1713618115
334,greenville,35.6127,-77.3663,18.09,99,100,0.0,US,1713618116
335,bargaal,11.2864,51.0773,30.56,71,56,5.26,SO,1713618117
336,bull savanna,17.8868,-77.5902,23.97,70,4,2.54,JM,1713618117
337,saurimo,-9.6608,20.3916,29.05,48,100,3.59,AO,1713618119
338,guerrero negro,27.9769,-114.0611,14.55,79,90,6.23,MX,1713618005
339,ancud,-41.8697,-73.8203,9.45,85,100,0.76,CL,1713618120
340,vorgashor,67.5833,63.95,-9.0,78,100,4.19,RU,1713618121
341,kargasok,59.0556,80.8572,-1.69,49,32,3.13,RU,1713618121
342,ingeniero jacobacci,-41.3427,-69.5448,5.64,61,50,7.63,AR,1713618122
343,at taraf,25.3628,49.725,37.3,10,0,1.65,SA,1713618123
344,tateyama,34.9833,139.8667,18.39,84,100,3.96,JP,1713618123
345,berezovyy,51.6667,135.7,-2.25,98,77,0.99,RU,1713618124
346,ketchikan,55.3422,-131.6461,7.99,62,63,1.97,US,1713618125
347,east london,-33.0153,27.9116,24.52,83,75,4.12,ZA,1713618033
348,puerto baquerizo moreno,-0.9,-89.6,24.09,88,81,2.49,EC,1713618126
349,ilam,26.9167,87.9167,24.39,40,100,2.59,NP,1713618127
350,kailua-kona,19.6406,-155.9956,23.9,77,99,1.33,US,1713618127
351,sulakyurt,40.1573,33.716,11.76,65,97,6.83,TR,1713618128
352,smithers,54.7804,-127.1743,-3.82,80,0,0.0,CA,1713618128
353,nicoya,10.1483,-85.452,26.66,67,100,1.24,CR,1713618129
354,fort st. john,56.2499,-120.8529,-0.06,32,0,2.57,CA,1713617858
355,boyolangu,-8.1181,111.8935,25.47,96,100,1.38,ID,1713618130
356,quitilipi,-26.8691,-60.2168,22.86,55,0,3.49,AR,1713618131
357,mrakovo,52.7161,56.6244,25.86,34,16,2.37,RU,1713618132
358,labytnangi,66.6572,66.4183,-12.57,91,100,4.66,RU,1713618132
359,cabo san lucas,22.8909,-109.9124,23.06,41,0,5.54,MX,1713617612
360,taoudenni,22.6783,-3.9836,38.04,7,100,2.21,ML,1713618134
361,changnyeong,35.5415,128.4951,14.77,100,100,0.51,KR,1713618134
362,bamboo flat,11.7,92.7167,30.05,70,20,1.03,IN,1713618135
363,deba,10.2086,11.3859,41.05,16,7,0.52,NG,1713618136
364,kerema,-7.9631,145.7785,26.32,90,100,2.76,PG,1713618136
365,cirencester,51.7171,-1.9683,13.54,47,20,4.12,GB,1713618137
366,karaton,-6.3424,106.1045,24.06,96,100,1.53,ID,1713618138
367,wanxian,30.8039,108.3897,17.46,95,100,1.79,CN,1713618139
368,cedar city,37.6775,-113.0619,6.54,53,0,0.0,US,1713617904
369,bredasdorp,-34.5322,20.0403,23.1,63,100,3.51,ZA,1713618140
370,alaghsas,17.0187,8.0168,40.94,6,0,5.66,NE,1713618140
371,bani walid,31.7566,13.9942,21.82,25,22,2.95,LY,1713618141
372,prince albert,53.2001,-105.7677,-8.03,79,20,3.6,CA,1713618142
373,selfoss,63.9331,-20.9971,8.91,97,100,8.7,IS,1713618143
374,guatire,10.4762,-66.5427,28.44,88,85,1.14,VE,1713618144
375,banda aceh,5.5577,95.3222,27.52,82,97,4.35,ID,1713618145
376,pantai remis,4.4557,100.6288,30.01,85,69,1.43,MY,1713618145
377,kiunga,-6.1219,141.2906,24.95,95,100,0.86,PG,1713618146
378,concepcion del uruguay,-32.4825,-58.2372,20.55,74,1,1.79,AR,1713618146
379,al majaridah,19.1236,41.9111,25.5,60,89,7.26,SA,1713618147
380,truro,50.2653,-5.0544,13.6,47,0,4.63,GB,1713618148
381,meadow lake,34.8014,-106.5436,11.06,56,100,4.86,US,1713618149
382,babruysk,53.15,29.2333,13.05,36,100,6.25,BY,1713618149
383,matoury,4.8483,-52.3317,28.98,79,75,5.14,GF,1713618150
384,aromashevo,56.8602,68.6375,23.06,57,0,2.65,RU,1713618151
385,saint-lazare,45.4001,-74.1326,8.73,51,2,4.12,CA,1713618151
386,flying fish cove,-10.4217,105.6791,24.82,100,100,5.14,CX,1713618152
387,port blair,11.6667,92.75,30.02,70,20,1.03,IN,1713618113
388,shitanjing,39.2342,106.3439,14.43,32,12,1.06,CN,1713618153
389,ebon,4.582,168.6964,27.62,84,100,5.57,MH,1713618154
390,kimbe,-5.5502,150.1429,25.81,89,42,0.37,PG,1713618155
391,mejit,10.2753,170.8646,27.95,78,19,7.49,MH,1713618156
392,muroto-misakicho,33.2833,134.15,18.1,63,100,7.87,JP,1713618157
